SiteName,SiteType,City,State,Address,YearOpened,YearClosed,Latitude,Longitude,ReferneceCitation,Notes
Queen Theater,theater,Birmingham,AL,212 18th Street North,1910,,33.51442339,-86.80942175,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.","unsure of exact year opened, this this should read ""1910s"""
The Star Theatre,theater,Savannah,GA,508 W. Broad Street ,1910,1930,32.06734525,-81.08741278,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.",
Attucks Theatre,theater,Norfolk,VA,1010 Church Street,1919,,36.85690811,-76.27853385,"Peterson, Bernard L. Jr. The African American Theatre Directory, 1816-1960: A Guide to Early Black Theatre Organizations, Companies, Theatres and Performing Groups.Westport: Greenwood Press, 1997.; web article","built by Black folks in 1919 and sold to a white man in 1922, Known as ""the Appollo of the South"""
Frolic Theter,theater,Birmingham,AL,312-14 North 18th Avenue,1921,1950,33.51486,-86.810498,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.","unsure of exact year closed, thus this should read, ""1950s?"""
Frolic Theter,theater,Birmingham,AL,1720-1722 4th Avenue North,1921,1950,33.5335441,-86.8291495,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.","unsure of exact year closed, thus this should read, ""1950s?"""
Famous Theater ,theater,Birmingham,AL,306 18th Street North,1922,1970,33.5335441,-86.8291495,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.","unsure of exact year closed, thus this should read, ""1970s"""
Famous Theater ,theater,Birmingham,AL,1717 North 4th Street,1922,1970,33.5335441,-86.8291495,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.","unsure of exact year closed, thus this should read, ""1970s"""
Frolic Theatre,theater,Bessemer,AL,1914 1st Avenue North,1922,1954,33.40233201,-86.95135447,"Peterson, Bernard L. Jr. The African American Theatre Directory, 1816-1960: A Guide to Early Black Theatre Organizations, Companies, Theatres and Performing Groups.Westport: Greenwood Press, 1997.; web article","unsure of exact year opened, this this should read ""1922?"""
Ella B. Moore Theatre (Chintz & Ella B. Moore Theatre // Ella B. Moore's Park Theatre),theater,Dallas,TX,424 North Central Avenue ,1924,,32.95601055,-96.73049978,"Peterson, Bernard L. Jr. The African American Theatre Directory, 1816-1960: A Guide to Early Black Theatre Organizations, Companies, Theatres and Performing Groups.Westport: Greenwood Press, 1997.; web article ","neighborhood Deep Ellum, designed by William Sidney Pittman; Moore also owned the Gypsy Tea Room (images in the Dallas library)"
New Queen Theater,theater,Anniston,AL,504 West 15th Street,1924,,33.66364034,-85.83605346,"Smith, Eric Ledell. African American Theater Buildings: An Illustrated Historical Directory, 1900-1955. Jefferson: McFarlandand Company, inc., Publishers, 2003.","vaudville house, had a pool room; unsure of the exact opening year, thus this should read ""1924?"""
