type,name,year,info,creator,owner,size_staff,revenue,monthly_creators,monthly_users,total_content,reg_users,traffic,play_downloads,play_reviews,bounce_rate,pages_visited,visit_duration,location,address,lat,long,tag
product,Apple,,a software and hardware company that makes computers and phones.,,,,,,,,,0.418,,,,3.11,,Cupertino,"One Apple Park Way, Cupertino, CA 95014",37.33490009,-122.009056,
platform,Facebook,2004,a social media platform where users post and share text and images.,Mark Zuckerberg,Meta,,85960000000,,2940000000,,,16.2,5000,134,31.64,8.38,0:10:21,Menlo Park,"1 Hacker Way, Menlo Park, CA 94025",37.48458141,-122.1473027,Meta
platform,Quora,2009,an online forum where users ask and answer questions.,"Adam D'Angelo, Charlie Cheever",Quora,250,20000000,,,,,0.7205,10,0.935,60.1,2.36,0:02:56,Mountain View,"605 Castro St, Mountain View, CA 94041, United States",37.38805187,-122.0822801,
product,Google,,"a search engine with multiple features, including a defunct social media platform.",,,,,,,,,83.9,10000,25.8,,8.62,,Mountain View,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",37.42236201,-122.0841872,Alphabet
platform,Poshmark,,an online retail platform where users resell clothes.,,,,,,,,,0.0553,10,0.145,,6.34,,Redwood City,"203 Redwood Shores Pkwy floor 8, Redwood City, CA 94065, United States",37.5211089,-122.2545761,
platform,YouTube,2006,a hosting platform where users upload and watch videos.,"Chad Hurley, Steve Chen, Jawed Karim",Google,,28800000000,114000000,2562000000,800000000,,30.6,10000,149,21.1,11.09,0:20:16,San Bruno,"901 Cherry Ave, San Bruno, CA 94066",37.6281549,-122.4264582,Alphabet
platform,WordPress,,a website that helps users build their own website.,,,,,,,,,0.273,10,0.191,,2.75,,San Francisco,"60 29th St 343, San Francisco, California, 94110, United States",37.74416753,-122.4214451,
platform,Ebay,1995,an online auction site where users sell and bid on products.,Ebay,Ebay,,,,,,,0.6455,100,4.54,36.51,7.04,0:07:07,San Jose,"2025 Hamilton Ave, San Jose, CA 95125, United States",37.29511783,-121.9262109,
product,Adobe,,a software company that produces a suite of products for creative projects such as image and video editing.,,,,,,,,,0.2491,,,,4.47,,San Jose,"345 Park Ave, San Jose, CA 95110, United States",37.3303486,-121.8941294,
platform,LinkedIn,,a social media platform with a business orientation.,,,,,,,,,1.6,1000,2.62,,7.56,,Sunnyvale,"605 W Maude Ave, Sunnyvale, CA 94085, USA",37.39209872,-122.036211,
platform,PayPal,,a payment platform that allows users and vendors to exchange payments.,,,,,,,,,0.438,100,2.94,,,,San Jose,"2211 N First St, San Jose, CA 95131",37.3764573,-121.9226834,
